# Eye Colour, Age
hazel,71
blue,74
hazel,42
hazel,46
blue,41
blue,25
blue,63
blue,67
hazel,72
brown,66
blue,44
hazel,58
green,75
brown,44
brown,78
blue,72
green,39
green,46
hazel,78
blue,55
hazel,71
hazel,35
blue,21
hazel,23
blue,54
blue,19
hazel,44
hazel,53
hazel,74
brown,72
green,35
brown,42
hazel,52
green,49
brown,18
hazel,37
brown,70
green,40
green,73
hazel,41
blue,29
brown,78
blue,60
brown,22
blue,71
blue,30
green,27
green,29
hazel,34
hazel,64
brown,66
blue,20
brown,36
blue,49
hazel,72
blue,62
brown,38
brown,34
hazel,40
green,70
hazel,41
blue,64
brown,30
brown,33
brown,37
brown,22
brown,73
blue,62
hazel,41
blue,21
brown,44
brown,39
blue,33
blue,56
hazel,64
brown,56
brown,57
brown,20
hazel,36
green,55
blue,56
hazel,22
green,49
brown,74
green,32
brown,19
brown,53
hazel,30
blue,28
blue,21
blue,49
hazel,65
green,38
blue,68
brown,52
hazel,27
blue,71
green,60
blue,29
brown,69
green,35
green,38
hazel,39
green,74
blue,19
blue,35
hazel,24
brown,74
blue,54
blue,31
hazel,54
brown,58
green,43
brown,26
blue,18
hazel,29
hazel,46
brown,26
brown,37
brown,37
hazel,33
green,67
hazel,27
green,22
hazel,38
hazel,23
hazel,43
hazel,53
hazel,61
brown,77
brown,68
hazel,37
brown,47
brown,25
blue,65
brown,49
brown,37
hazel,76
blue,24
blue,62
hazel,38
blue,64
brown,29
brown,71
blue,45
blue,64
hazel,47
blue,19
brown,71
brown,74
brown,23
hazel,44
hazel,74
brown,74
hazel,31
blue,67
blue,38
brown,37
brown,63
brown,66
green,69
green,51
brown,32
hazel,32
hazel,34
blue,44
blue,26
brown,20
hazel,35
brown,39
brown,59
brown,66
blue,21
brown,23
brown,47
green,74
hazel,75
blue,51
green,23
blue,75
blue,65
brown,62
blue,59
brown,62
blue,24
blue,23
brown,56
hazel,28
blue,57
hazel,35
brown,42
blue,64
hazel,42
green,51
hazel,25
blue,46
brown,42
hazel,30
hazel,38
hazel,38
blue,19
blue,40
hazel,42
brown,25
hazel,63
hazel,22
hazel,50
hazel,31
hazel,36
hazel,46
green,58
blue,48
brown,26
brown,37
hazel,57
brown,72
blue,33
blue,42
hazel,38
blue,59
hazel,38
blue,68
brown,73
brown,30
blue,34
blue,52
hazel,20
blue,51
hazel,76
brown,56
brown,46
brown,30
hazel,58
brown,46
brown,53
blue,73
blue,38
blue,67
green,46
hazel,56
blue,49
brown,46
hazel,73
blue,64
brown,48
hazel,39
brown,30
green,61
blue,46
brown,62
green,43
blue,53
hazel,74
blue,32
brown,21
green,61
hazel,56
blue,47
blue,48
blue,47
green,64
brown,70
hazel,52
hazel,59
hazel,39
brown,20
brown,47
blue,58
green,59
green,36
green,71
brown,38
green,77
hazel,27
brown,77
blue,20
brown,50
green,68
brown,44
green,46
hazel,63
hazel,49
blue,53
hazel,66
brown,55
brown,51
hazel,77
hazel,56
hazel,64
hazel,19
brown,24
blue,73
hazel,55
hazel,46
brown,56
brown,46
hazel,41
blue,43
brown,21
blue,25
